CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
44,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,3,0,0,0
255,255,255,255,255,0,255,0,255,2,255,0
255,255,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,255,255,255,255
0,0,0,10,0,255,0,255,0,255,255,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
42,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,255,255,255,5,255,0,255,2,255,0
255,255,255,255,255,255,255,44,255,255,255,6
0,0,255,255,255,255,255,255,13,255,255,255
