CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
58,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,2,0,0,0
255,255,255,255,255,0,255,0,255,1,255,0
255,255,255,255,255,255,255,255,255,255,255,255
0,0,255,255,255,255,255,255,181,255,255,255
0,0,0,7,0,255,0,255,0,255,178,255
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
65,255,0,0,0,0,0,0,0,0,0,0
255,255,0,0,0,0,0,0,0,0,0,0
255,255,255,255,255,4,255,0,255,14,255,0
255,255,255,255,255,255,255,55,255,255,255,12
0,0,255,255,255,255,255,255,7,255,255,255
